Variable ID,Variable Name,Entity Type,Definition,Data type,Max Char Length,Acceptable values,Required?,Key?,Accepts null value?,,,,,,,,,,
1,AddressLine1,Address,Normally: XXXX StreetName Road,VARCHAR(255),255,Yes,,,,,,,,,,,,,,
2,AddressLine2,Address,Normally: Apt 420,VARCHAR(255),255,,,,,,,,,,,,,,
3,AddressLine3,Address,,VARCHAR(255),255,,,,,,,,,,,,,,
4,AddressLine4,Address,,VARCHAR(255),255,,,,,,,,,,,,,,
5,AddressNum,Address,PK,INTEGER,,,Yes,PK,No,,,,,,,,,,
6,City,Address,,VARCHAR(255),100,Yes,,,,,,,,,,,,,,
7,Country,Address,,VARCHAR(255),255,Yes,,,,,,,,,,,,,,
8,Description,Address,,VARCHAR(255),255,,,,,,,,,,,,,,
9,Region,Address,,VARCHAR(50),50,,,,,,,,,,,,,,
10,State,Address,,VARCHAR(50),20,,,,,,,,,,,,,,
11,ZipCode,Address,,VARCHAR(50),50,,,,,,,,,,,,,,
12,ArtCategoryNum,ArtCategory,PK,INTEGER,,,Yes,PK,No,,,,,,,,,,
13,Category,ArtCategory,"Painting, Sculpture, Digital Art Service, Event Ticket, etc.",VARCHAR(255),100,Yes,,,,,,,,,,,,,,
14,CategoryKey,ArtCategory,Shortname_for_category (.sub_category),VARCHAR(255),50,,,,No,,,,,,,,,,
15,Description,ArtCategory,Describe the category of art,VARCHAR(255),255,,,,No,,,,,,,,,,
16,Tags,ArtCategory,Tags meant for SEO. ,VARCHAR(255),255,,,,,,,,,,,,,,
17,Applied,Artist,Now() upon entering the application,timestamptz,,DEFAULT now(),,,,,,,,,,,,,
18,ArtistNum,Artist,PK,INTEGER,,,Yes,PK,No,,,,,,,,,,
19,Biography,Artist,Display biography of the artist,TEXT,,,,,Yes,,,,,,,,,,
20,Byline,Artist,"A blurb, could be used on invoices",VARCHAR(1000),1000,,,,,,,,,,,,,,
21,CoverPicFK,Artist,"FK to pictures, artist's current cover picture",INTEGER,,,,pictures(pictureNum),,,,,,,,,,,
22,FocusCategoryFK,Artist,FK to Art Category to indicate the artist's normal medium,INTEGER,,,,ArtCategory(ArtCategoryNum),,,,,,,,,,,
23,Path,Artist,Unique - tag.com/artists/${pathName},VARCHAR(255),255,Yes,,,index,,,,,,,,,,,
24,ProfilePicFK,Artist,"FK to pictures, artist's current profile pic",INTEGER,,,,pictures(pictureNum),,,,,,,,,,,
25,SEOTags,Artist,Search optimization terms as defined by the artist.  ,VARCHAR(255),255,,,index,,,,,,,,,,,
